rank,abnormal_stand,max_risk_score,mean_risk_score,max_anomaly_probability,latest_fault,latest_rul_band,latest_health_index,alert_count,risk_level
1,mill_level,90.04852471758358,37.94123076056608,0.9999704360961914,anomaly_reduction,within_1_shift,65.35658926178584,9,critical
2,stand_5,75.15746235384908,35.8276407733637,0.9679239988327026,anomaly_workroll_5,within_1_shift,67.31656247963379,6,high
3,stand_4,74.30704422035335,36.50394326219299,0.9822711944580078,anomaly_workroll_4,within_1_shift,67.29021035681086,8,high
4,stand_3,74.12175696615331,35.128308749169676,0.9697183966636658,anomaly_bearing_3,within_1_shift,69.47341993763521,8,high
5,stand_1,70.44197904291103,33.399876998328,0.9755110740661621,anomaly_workroll_1,within_1_shift,68.01999786677268,3,high
6,stand_2,35.879874693923156,32.00295102691743,0.06039762124419212,anomaly_bearing_2,within_1_shift,68.68477291990209,0,medium
